date,outdated dependencies,all dependencies,kotlin lines,java lines,kotlin compiler warnings
29/03/2022,44,108,101983,111,342
30/03/2022,44,108,101947,111,342
31/03/2022,44,108,101955,111,342
01/04/2022,44,108,102029,111,342
02/04/2022,52,108,102023,111,343
03/04/2022,52,108,102023,111,343
04/04/2022,52,108,102023,111,343
05/04/2022,50,108,102396,111,344
06/04/2022,50,108,102519,111,344
07/04/2022,53,108,102664,111,347
08/04/2022,52,108,102672,111,347
09/04/2022,52,108,102644,111,344
10/04/2022,52,108,102644,111,344
11/04/2022,52,108,102654,111,344
12/04/2022,54,108,102728,111,344
13/04/2022,54,108,103200,111,345
14/04/2022,54,108,103433,111,344
15/04/2022,53,108,103575,111,343
16/04/2022,53,108,103696,111,343
17/04/2022,53,108,103701,111,343
18/04/2022,53,108,103701,111,343
19/04/2022,53,108,103920,111,342
20/04/2022,55,108,104290,111,357
21/04/2022,51,109,104458,111,357
22/04/2022,51,109,104515,111,357
23/04/2022,51,109,104710,111,357
24/04/2022,49,109,104710,111,357
25/04/2022,49,109,104710,111,357
26/04/2022,44,109,105134,111,336
27/04/2022,44,109,105236,111,336
28/04/2022,45,109,105488,111,336
29/04/2022,44,109,108596,111,337
30/04/2022,44,109,108911,111,336
01/05/2022,44,109,108911,111,336
02/05/2022,44,109,108911,111,336
03/05/2022,46,109,108947,111,336
04/05/2022,44,109,109045,111,336
05/05/2022,45,109,109244,111,336
06/05/2022,46,109,110797,111,338
07/05/2022,47,109,110910,111,338
08/05/2022,47,109,110910,111,338
09/05/2022,47,109,110910,111,338
10/05/2022,45,109,110957,111,338
11/05/2022,44,109,111514,111,338
12/05/2022,45,109,111536,111,338
13/05/2022,45,109,111650,111,339
14/05/2022,45,109,111905,111,339
15/05/2022,45,109,111905,111,339
16/05/2022,45,109,111905,111,339
17/05/2022,43,109,112033,111,339
18/05/2022,43,109,111956,111,338
19/05/2022,43,109,112702,111,337
20/05/2022,44,109,112985,111,338
21/05/2022,46,109,112961,111,338
22/05/2022,46,109,112961,111,338
23/05/2022,46,109,112961,111,338
24/05/2022,44,109,113092,111,338
25/05/2022,44,109,113731,111,322
26/05/2022,43,109,113827,111,322
27/05/2022,43,109,114215,111,321
28/05/2022,47,110,115306,111,321
29/05/2022,47,110,115306,111,321
30/05/2022,45,110,115306,111,321
31/05/2022,47,110,115415,111,319
01/06/2022,47,110,115411,111,319
02/06/2022,48,110,115557,111,317
03/06/2022,48,110,115723,111,316
04/06/2022,48,110,116011,111,316
05/06/2022,48,110,116011,111,316
06/06/2022,48,110,116011,111,316
07/06/2022,48,110,116597,111,316
08/06/2022,48,110,116576,111,316
09/06/2022,48,110,116853,111,317
10/06/2022,49,110,117479,111,319
12/06/2022,49,110,118640,111,320
13/06/2022,49,110,118640,111,320
14/06/2022,49,110,118640,111,320
15/06/2022,47,110,118640,111,320
16/06/2022,48,110,118658,111,320
17/06/2022,48,110,119151,111,320
18/06/2022,48,110,119182,111,320
19/06/2022,48,110,119182,111,320
20/06/2022,48,110,119182,111,320
21/06/2022,47,108,119273,111,320
22/06/2022,47,108,119275,111,320
23/06/2022,47,108,119550,111,320
24/06/2022,48,108,120148,111,320
25/06/2022,48,108,120315,111,319
26/06/2022,48,108,120315,111,319
27/06/2022,48,108,120317,111,319
28/06/2022,50,108,120449,111,319
29/06/2022,52,108,120573,111,319
30/06/2022,59,108,121030,111,319
01/07/2022,59,108,121040,111,0
02/07/2022,59,108,121461,111,320
03/07/2022,59,108,121461,111,320
04/07/2022,59,108,121461,111,320
05/07/2022,60,109,121508,111,197
06/07/2022,58,109,121892,111,203
07/07/2022,60,109,122075,111,56
08/07/2022,45,109,122150,111,55
09/07/2022,43,109,123174,111,0
10/07/2022,43,109,123174,111,0
11/07/2022,43,109,123236,111,0
12/07/2022,43,109,123734,111,0
13/07/2022,43,109,124023,111,0
14/07/2022,43,109,124035,111,0
15/07/2022,45,109,124365,111,0
16/07/2022,45,109,124523,111,0
17/07/2022,45,109,124523,111,0
18/07/2022,45,109,124523,111,0
19/07/2022,45,109,124784,111,0
20/07/2022,45,109,124951,111,0
21/07/2022,45,109,124962,111,0
22/07/2022,51,113,125153,111,0
23/07/2022,51,116,125524,111,0
24/07/2022,51,116,125524,111,0
25/07/2022,51,116,127331,111,96
26/07/2022,51,116,127398,111,96
27/07/2022,51,116,127430,111,96
28/07/2022,57,116,127430,111,96
29/07/2022,58,116,127624,111,96
30/07/2022,58,116,127664,111,96
31/07/2022,58,116,127664,111,96
02/08/2022,59,116,127578,111,96
03/08/2022,59,116,127578,111,96
04/08/2022,61,118,127639,111,97
